Trail_Name,Rank,Difficulty,Distance_Miles,Elevation_Feet,Route_Type,Description,Cluster_number,State,Latitude,Longitude,Cluster_number_whole
"Crocker Mountain, South Crocker Mountain and Mount Redington Loop",217,Hard,11,3353,Loop,"Crocker Mountain, South Crocker Mountain and Mount Redington Loop is a 11 mile moderately trafficked loop trail located near Kingfield, Maine that features beautiful wild flowers and is rated as difficult. The trail offers a number of activity options and is accessible year-round. Dogs are also able to use this trail.",0,Maine,45.0459,-70.34624,4
Wright Trail,220,Hard,8.8,2762,Out & Back,"Wright Trail is a 8.8 mile moderately trafficked out and back trail located near Newry, Maine that features a waterfall and is rated as difficult. The trail is primarily used for hiking, nature trips, and fishing and is best used from April until October. Dogs are also able to use this trail.",0,Maine,44.51915,-70.93585,4
North Traveler Mountain Trail to Pogy Notch Trail Loop,250,Hard,9.5,3694,Loop,"North Traveler Mountain Trail to Pogy Notch Trail Loop is a 9.5 mile lightly trafficked loop trail located near Millinocket, Maine that features a lake and is rated as difficult. The trail is primarily used for hiking, running, camping, and backpacking and is best used from April until October.",0,Maine,46.10841,-68.89766,4
Old Speck Mountain via Appalachian Trail,251,Hard,6.7,2739,Out & Back,"Old Speck Mountain via Appalachian Trail is a 6.7 mile moderately trafficked out and back trail located near Newry, Maine that features a great forest setting. The trail is rated as difficult and primarily used for hiking, walking, trail running, and nature trips. Dogs are also able to use this trail but must be kept on leash.",0,Maine,44.59013,-70.94692,4
Sugarloaf Mountain via Appalachian Trail,264,Hard,6.1,2299,Out & Back,"Sugarloaf Mountain via Appalachian Trail is a 6.1 mile moderately trafficked out and back trail located near Kingfield, Maine that offers the chance to see wildlife and is rated as difficult. The trail is primarily used for hiking and nature trips and is best used from May until September. Dogs are also able to use this trail but must be kept on leash.",0,Maine,45.0459,-70.34616,4
Deer Brook Trail via Jordan Pond Path,273,Hard,5,951,Out & Back,"Deer Brook Trail via Jordan Pond Path is a 5 mile moderately trafficked out and back trail located near Mt Desert, Maine that features a lake and is rated as difficult. The trail offers a number of activity options and is accessible year-round. Dogs are also able to use this trail but must be kept on leash.",0,Maine,44.32294,-68.25375,4
Crocker Mountain and South Crocker Mountain via Appalachian Trail,283,Hard,6.5,2765,Out & Back,"Crocker Mountain and South Crocker Mountain via Appalachian Trail is a 6.5 mile lightly trafficked out and back trail located near Kingfield, Maine that features beautiful wild flowers and is rated as difficult. The trail is primarily used for hiking, camping, and backpacking. Dogs are also able to use this trail but must be kept on leash.",0,Maine,45.04582,-70.34617,4
Cadillac Mountain North Ridge and Gorge Path Loop,288,Hard,4.8,1315,Loop,"Cadillac Mountain North Ridge and Gorge Path Loop is a 4.8 mile moderately trafficked loop trail located near Bar Harbor, Maine that features a waterfall and is rated as difficult. The trail is primarily used for hiking, trail running, and nature trips.",0,Maine,44.3728,-68.22169,4
Baxter Peak via Saddle and Cathedral Loop,296,Hard,9.6,3805,Out & Back,"Baxter Peak via Saddle and Cathedral Loop is a 9.6 mile moderately trafficked out and back trail located near Millinocket, Maine that features a lake and is rated as difficult. The trail offers a number of activity options and is best used from May until October.",0,Maine,45.91968,-68.85737,4
Mahoosuc Notch Loop via North Pond Road to Appalachian Trail,305,Hard,9,2559,Loop,"Mahoosuc Notch Loop via North Pond Road to Appalachian Trail is a 9 mile moderately trafficked loop trail located near Newry, Maine that features a waterfall. The trail is rated as difficult and is primarily used for hiking. Dogs are also able to use this trail but must be kept on leash.",0,Maine,44.5373,-71.02355,4
The Horns Pond Trail,312,Hard,7.4,1965,Out & Back,"The Horns Pond Trail is a 7.4 mile lightly trafficked out and back trail located near Stratton, Maine that features a lake and is rated as difficult. The trail is primarily used for hiking and is best used from May until October. Dogs are also able to use this trail.",0,Maine,45.11208,-70.32862,4
A. Murray Young Path via Canon Brook  and Dorr South Ridge Trail,340,Hard,4.7,1213,Loop,"A. Murray Young Path via Canon Brook  and Dorr South Ridge Trail is a 4.7 mile lightly trafficked loop trail located near Bar Harbor, Maine that features a lake and is only recommended for very experienced adventurers. The trail is primarily used for hiking, walking, nature trips, and birding and is accessible year-round. Dogs are also able to use this trail but must be kept on leash.",0,Maine,44.34815,-68.20223,4
Penobscot Mountain and Bubbles Loop ,341,Hard,5.3,1663,Loop,"Penobscot Mountain and Bubbles Loop  is a 5.3 mile lightly trafficked loop trail located near Seal Harbor, Maine that features a lake and is rated as difficult. The trail offers a number of activity options.",0,Maine,44.32188,-68.2601,4
Mt Coe and South Brother Loop,343,Hard,7.7,2880,Loop,"Mt Coe and South Brother Loop is a 7.7 mile lightly trafficked loop trail located near Millinocket, Maine that features a great forest setting and is only recommended for very experienced adventurers. The trail is primarily used for hiking, trail running, and backpacking and is best used from May until October.",0,Maine,45.93924,-69.04133,4
Caribou Mountain,352,Hard,8.2,2296,Loop,"Caribou Mountain is a 8.2 mile moderately trafficked loop trail located near Franklin, Maine that features beautiful wild flowers and is rated as difficult. The trail is primarily used for hiking, walking, nature trips, and birding and is best used from March until November. Dogs are also able to use this trail but must be kept on leash.",0,Maine,44.57415,-68.12969,4
Big Spencer Mountain Trail,358,Hard,3.3,1820,Out & Back,"Big Spencer Mountain Trail is a 3.3 mile lightly trafficked out and back trail located near Greenville, Maine that features a great forest setting. The trail is only recommended for very experienced adventurers and primarily used for hiking and trail running.",0,Maine,45.79375,-69.43278,4
Sargent East Cliffs Trail ,426,Hard,3,1578,Out & Back,"Sargent East Cliffs Trail  is a 3 mile lightly trafficked out and back trail located near Mt Desert, Maine that features beautiful wild flowers and is rated as difficult. The trail is primarily used for hiking, nature trips, and birding and is best used from July until December.",0,Maine,44.34107,-68.25035,4
White Cap Mountain,438,Hard,6.8,2132,Out & Back,"White Cap Mountain is a 6.8 mile lightly trafficked out and back trail located near Greenville, Maine that offers the chance to see wildlife. The trail is rated as difficult and is primarily used for hiking and running. Dogs are also able to use this trail but must be kept on leash.",0,Maine,45.57666,-69.23073,4
Sargeant Mountain Ridge Loop,460,Hard,7.5,1774,Loop,"Sargeant Mountain Ridge Loop is a 7.5 mile moderately trafficked loop trail located near Mount Desert, Maine that features a lake and is rated as difficult. The trail is primarily used for hiking, trail running, and nature trips. Dogs are also able to use this trail.",0,Maine,44.31218,-68.28548,4
Mosquito Mountain Trail,461,Hard,2.7,1197,Out & Back,"Mosquito Mountain Trail is a 2.7 mile moderately trafficked out and back trail located near West Forks, Maine that features a lake. The trail is rated as difficult and is primarily used for hiking and nature trips.",0,Maine,45.32586,-69.85649,4
Cranberry Peak via Curry Road,472,Hard,5.2,2020,Out & Back,"Cranberry Peak via Curry Road is a 5.2 mile moderately trafficked out and back trail located near Stratton, Maine that features a great forest setting and is rated as difficult. The trail is primarily used for hiking, trail running, and nature trips and is best used from May until October. Dogs are also able to use this trail.",0,Maine,45.13745,-70.42333,4
West and East Royce Mountains via the Royce Trail,474,Hard,4.8,2463,Out & Back,"West and East Royce Mountains via the Royce Trail is a 4.8 mile lightly trafficked out and back trail located near Bethel, Maine that features a great forest setting and is rated as difficult. The trail is primarily used for hiking, nature trips, and bird watching and is best used from April until November. Dogs are also able to use this trail.",0,Maine,44.3052,-70.99002,4
Royce Trail,477,Hard,8.2,2877,Out & Back,"Royce Trail is a 8.2 mile out and back trail located near Bethel, Maine that offers scenic views. The trail is rated as difficult and primarily used for hiking and backpacking. Dogs are also able to use this trail but must be kept on leash.",0,Maine,44.26714,-71.00385,4
"Crocker Mountain, South Crocker Mountain, and Mount Redington",498,Hard,7.9,3717,Out & Back,"Crocker Mountain, South Crocker Mountain, and Mount Redington is a 7.9 mile moderately trafficked out and back trail located near Kingfield, Maine that offers the chance to see wildlife and is rated as difficult. The trail is primarily used for hiking, camping, nature trips, and backpacking and is best used from March until November. Dogs are also able to use this trail but must be kept on leash.",0,Maine,45.0436,-70.34636,4
Debouille Mountain Loop,523,Hard,8.3,1597,Loop,"Debouille Mountain Loop is a 8.3 mile lightly trafficked loop trail located near Portage, Maine that features a lake and is rated as difficult. The trail is primarily used for hiking and trail running and is best used from April until October. Dogs are also able to use this trail but must be kept on leash.",0,Maine,46.9579,-68.83629,4
North Traveler Mountain ,525,Hard,4.9,2214,Out & Back,"North Traveler Mountain  is a 4.9 mile moderately trafficked out and back trail located near Millinocket, Maine that features a lake and is rated as difficult. The trail is primarily used for hiking and nature trips and is best used from May until October.",0,Maine,46.10854,-68.89844,4
"Mansell Mountain, Little Notch and Bernard Mountain via Perpendicular Trail ",532,Hard,4.6,1236,Loop,"Mansell Mountain, Little Notch and Bernard Mountain via Perpendicular Trail  is a 4.6 mile moderately trafficked loop trail located near Southwest Harbor, Maine that offers the chance to see wildlife. The trail is rated as difficult and is primarily used for hiking, trail running, nature trips, and birding.",0,Maine,44.30012,-68.35027,4
Bigelow Loop,555,Hard,11.8,2152,Loop,"Bigelow Loop is a 11.8 mile heavily trafficked loop trail located near New Portland, Maine that features a lake and is rated as difficult. The trail is primarily used for hiking, nature trips, and backpacking.",0,Maine,45.13455,-70.17148,4
Little Spencer Mountain via RAM Trail,605,Hard,2.8,1863,Out & Back,"Little Spencer Mountain via RAM Trail is a 2.8 mile lightly trafficked out and back trail located near Greenville, Maine that offers the chance to see wildlife and is rated as difficult. The trail is primarily used for hiking, trail running, and rock climbing and is best used from April until October.",0,Maine,45.75473,-69.54868,4
Jackson Mountain,666,Hard,5.6,2460,Out & Back,"Jackson Mountain is a 5.6 mile moderately trafficked out and back trail located near Weld, Maine that features a great forest setting and is rated as difficult. The trail is primarily used for hiking, walking, nature trips, and bird watching and is best used from April until September.",0,Maine,44.73228,-70.50922,4
East Kennebago Mountain Trail,671,Hard,10.7,2431,Out & Back,"East Kennebago Mountain Trail is a 10.7 mile lightly trafficked out and back trail located near Rangeley, Maine that features a river and is rated as difficult. The trail is primarily used for hiking and trail running and is best used from June until September.",0,Maine,45.06762,-70.57683,4
Katahdin North Loop,674,Hard,12,4061,Loop,"Katahdin North Loop is a 12 mile heavily trafficked loop trail located near Millinocket, Maine that features a lake and is rated as difficult. The trail is primarily used for hiking and backpacking and is best used from May until October.",0,Maine,45.91993,-68.85745,4
"Jordan Cliffs, South Bubble and Pemetic Mountain Loop",702,Hard,5.7,1955,Loop,"Jordan Cliffs, South Bubble and Pemetic Mountain Loop is a 5.7 mile lightly trafficked loop trail located near Seal Harbor, Maine that features a lake and is rated as difficult. The trail is primarily used for hiking and trail running. Dogs are also able to use this trail but must be kept on leash.",0,Maine,44.32046,-68.25547,4
Garey Mountain to Cameron Mountain Loop via Ridge Trail,703,Hard,13.4,3251,Loop,"Garey Mountain to Cameron Mountain Loop via Ridge Trail is a 13.4 mile moderately trafficked loop trail located near Camden, Maine that features a great forest setting and is rated as difficult. The trail offers a number of activity options. Dogs are also able to use this trail but must be kept on leash.",0,Maine,44.23042,-69.0493,4
"Mansel, Bernard and Beach Mountain Loop",711,Hard,7.6,2217,Loop,"Mansel, Bernard and Beach Mountain Loop is a 7.6 mile lightly trafficked loop trail located near Southwest Harbor, Maine that features a lake and is rated as difficult. The trail is primarily used for hiking and trail running. Dogs are also able to use this trail but must be kept on leash.",0,Maine,44.30013,-68.35109,4
Meader Ridge Trail,717,Hard,8.9,2949,Out & Back,"Meader Ridge Trail is a 8.9 mile moderately trafficked out and back trail located near Center Lovell, Maine that features beautiful wild flowers and is rated as difficult. The trail is primarily used for hiking, running, nature trips, and bird watching and is best used from March until October. Dogs are also able to use this trail but must be kept on leash.",0,Maine,44.2464,-71.01475,4
Haystack Notch Trail,719,Hard,9.2,1660,Out & Back,"Haystack Notch Trail is a 9.2 mile moderately trafficked out and back trail located near Bethel, Maine that features beautiful wild flowers and is rated as difficult. The trail offers a number of activity options and is accessible year-round. Dogs are also able to use this trail but must be kept on leash.",0,Maine,44.33909,-70.90117,4
Miles Notch Trail,739,Hard,9.3,2477,Out & Back,"Miles Notch Trail is a 9.3 mile moderately trafficked out and back trail located near Stoneham, Maine that features beautiful wild flowers and is rated as difficult. The trail offers a number of activity options and is accessible year-round. Dogs are also able to use this trail but must be kept on leash.",0,Maine,44.26775,-70.89926,4
Bowditch and Long Pond Trails via Duck Harbor Trail,782,Hard,8.8,1099,Loop,"Bowditch and Long Pond Trails via Duck Harbor Trail is a 8.8 mile moderately trafficked loop trail located near Isle Au Haut, Maine that features beautiful wild flowers and is rated as difficult. The trail offers a number of activity options and is accessible year-round. Dogs are also able to use this trail but must be kept on leash.",0,Maine,44.0742,-68.63643,4
Russell Pond and Northwest Basin Trail Loop,832,Hard,20.4,3950,Loop,"Russell Pond and Northwest Basin Trail Loop is a 20.4 mile lightly trafficked loop trail located near Millinocket, Maine that features a lake and is only recommended for very experienced adventurers. The trail offers a number of activity options and is best used from May until October.",0,Maine,45.91967,-68.85737,4
Black Mountain Loop ,872,Hard,3.9,1348,Loop,"Black Mountain Loop  is a 3.9 mile lightly trafficked loop trail located near Sumner, Maine that offers the chance to see wildlife and is rated as difficult. The trail is primarily used for hiking and nature trips.",0,Maine,44.41907,-70.46558,4
Lead Mountain Trail ,894,Hard,5.4,1148,Out & Back,"Lead Mountain Trail  is a 5.4 mile lightly trafficked out and back trail located near Cherryfield, Maine that features a lake and is rated as difficult. The trail is primarily used for hiking and nature trips and is best used from May until October.",0,Maine,44.84363,-68.07199,4
Birch Spring Trail,896,Hard,5,1328,Out & Back,"Birch Spring Trail is a 5 mile moderately trafficked out and back trail located near Mt Desert, Maine that features beautiful wild flowers and is rated as difficult. The trail offers a number of activity options and is best used from March until October. Dogs are also able to use this trail but must be kept on leash.",0,Maine,44.32044,-68.25414,4
Scenic Shore Trail [PRIVATE PROPERTY],994,Hard,7.2,875,Out & Back,"Scenic Shore Trail [PRIVATE PROPERTY] is a 7.2 mile moderately trafficked out and back trail located near Bar Harbor, Maine that offers the chance to see wildlife and is rated as difficult. The trail offers a number of activity options and is best used from May until September. Dogs are also able to use this trail but must be kept on leash.",0,Maine,44.37374,-68.19731,4
Cadillac Summit Loop Trail,10,Easy,0.3,45,Loop,"Cadillac Summit Loop Trail is a 0.3 mile heavily trafficked loop trail located near Bar Harbor, Maine that offers scenic views and is good for all skill levels. The trail is primarily used for walking, nature trips, and birding and is accessible year-round. Dogs are also able to use this trail but must be kept on leash.",1,Maine,44.3528,-68.22459,1
Ship Harbor Trail,17,Easy,1.3,65,Loop,"Ship Harbor Trail is a 1.3 mile moderately trafficked loop trail located near Southwest Harbor, Maine that features beautiful wild flowers and is good for all skill levels. The trail offers a number of activity options and is accessible year-round. Dogs are also able to use this trail but must be kept on leash.",1,Maine,44.23165,-68.32552,1
